source,target,type
0,1,involved in crash
0,2,judge
1,2,judge
1,7,mother
1,3,state attorney
0,31,attorney
0,32,defense team
31,32,partner
1,6,father
0,8,friend
0,9,girlfriend
11,2,juror
2,10,witness
0,12,
12,2,testified
0,13,
13,2,testified
0,14,expert
14,2,testified
15,2,testified
0,15,expert
0,16,friend
17,2,testified
18,2,testified
1,19,Asst. State Attorney
1,20,Asst. State Attorney
30,20,succeeded
0,21,polo player
17,21,caretaker
21,2,testified
23,0,bartender
24,1,investigator
24,0,investigator
25,2,testified
26,2,testified
27,0,monitoring team
0,28,mother
0,29,lawyer
0,22,friend
0,3,lawyer
3,32,succeeded
3,31,succeeded
0,4,
0,5,lawyer
